"twitter","id","name","age","gender","party","type","state","joined","days","tweets","followers","following"
"RepAndyBarr","B001282","Garland Barr",40,"M","Republican","rep","KY","2013-01-14 15:29:49",539,1487,4349,1091
"RepAndyHarrisMD","H001052","Andy Harris",57,"M","Republican","rep","MD","2012-11-20 18:31:27",594,1141,3250,381
"RepAnnWagner","W000812","Ann Wagner",51,"F","Republican","rep","MO","2013-01-01 00:01:45",552,1204,6238,2831
"RepAnnaEshoo","E000215","Anna Eshoo",71,"F","Democrat","rep","CA","2011-02-08 21:36:03",1245,929,7632,573
"RepAnnieKuster","K000382","Ann Kuster",57,"F","Democrat","rep","NH","2013-01-03 20:29:22",550,908,5715,7741
"RepBarbaraLee","L000551","Barbara Lee",68,"F","Democrat","rep","CA","2011-02-07 16:28:28",1246,2076,17011,627
"RepBeatty","B001281","Joyce Beatty",64,"F","Democrat","rep","OH","2013-06-19 17:47:09",383,1094,1736,773
"RepBecerra","B000287","Xavier Becerra",56,"M","Democrat","rep","CA","2010-04-16 19:04:13",1543,1260,15349,1809
"RepBenRayLujan","L000570","Ben Luján",42,"M","Democrat","rep","NM","2009-01-22 01:00:32",1992,812,7101,155
"RepBera","B001287","Ami Bera",49,"M","Democrat","rep","CA","2012-11-16 01:39:54",598,826,4644,82
"RepBetoORourke","O000170","Beto O'Rourke",41,"M","Democrat","rep","TX","2013-01-30 14:52:51",523,1194,4737,716
"RepBillEnyart","E000292","William Enyart",64,"M","Democrat","rep","IL","2013-01-07 14:42:39",546,239,2095,20
"RepBillFlores","F000461","Bill Flores",60,"M","Republican","rep","TX","2011-01-12 15:20:23",1272,3229,8058,1617
"RepBillFoster","F000454","Bill Foster",58,"M","Democrat","rep","IL","2013-01-11 18:17:11",542,847,2951,1267
"RepBillJohnson","J000292","Bill Johnson",59,"M","Republican","rep","OH","2010-11-03 14:33:04",1342,2500,7497,677
"RepBillShuster","S001154","Bill Shuster",53,"M","Republican","rep","PA","2009-03-02 20:04:02",1953,2160,10344,742
